blockname,trial_split,spout,solution,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd,subject,procedure,day
2022_04_18_abb03,90,spout02,sucrose20,37,18.5,18.5,0.7071067811865476,abb03,multi_s,5
2022_04_18_abb03,90,spout03,sucrose00,4,2,2,0,abb03,multi_s,5
2022_04_18_abb03,90,spout04,sucrose30,26,13,13,0,abb03,multi_s,5
2022_04_18_abb03,90,spout05,sucrose10,2,1,1,1.4142135623730951,abb03,multi_s,5
2022_04_18_abb05,0,spout01,sucrose05,27,13.5,13.5,2.1213203435596424,abb05,multi_s,5
2022_04_18_abb05,0,spout02,sucrose20,39,19.5,19.5,2.1213203435596424,abb05,multi_s,5
2022_04_18_abb05,0,spout03,sucrose00,35,17.5,17.5,3.5355339059327378,abb05,multi_s,5
2022_04_18_abb05,0,spout04,sucrose30,43,21.5,21.5,0.7071067811865476,abb05,multi_s,5
2022_04_18_abb05,0,spout05,sucrose10,33,16.5,16.5,2.1213203435596424,abb05,multi_s,5
2022_04_18_abb05,10,spout01,sucrose05,36,18,18,4.242640687119285,abb05,multi_s,5
2022_04_18_abb05,10,spout02,sucrose20,42,21,21,1.4142135623730951,abb05,multi_s,5
2022_04_18_abb05,10,spout03,sucrose00,36,18,18,2.8284271247461903,abb05,multi_s,5
2022_04_18_abb05,10,spout04,sucrose30,45,22.5,22.5,0.7071067811865476,abb05,multi_s,5
2022_04_18_abb05,10,spout05,sucrose10,18,9,9,1.4142135623730951,abb05,multi_s,5
2022_04_18_abb05,20,spout01,sucrose05,27,13.5,13.5,7.7781745930520225,abb05,multi_s,5
2022_04_18_abb05,20,spout02,sucrose20,37,18.5,18.5,3.5355339059327378,abb05,multi_s,5
2022_04_18_abb05,20,spout03,sucrose00,25,12.5,12.5,6.363961030678928,abb05,multi_s,5
2022_04_18_abb05,20,spout04,sucrose30,44,22,22,1.4142135623730951,abb05,multi_s,5
2022_04_18_abb05,20,spout05,sucrose10,19,9.5,9.5,2.1213203435596424,abb05,multi_s,5
2022_04_18_abb05,30,spout01,sucrose05,18,9,9,1.4142135623730951,abb05,multi_s,5
2022_04_18_abb05,30,spout02,sucrose20,35,17.5,17.5,3.5355339059327378,abb05,multi_s,5
2022_04_18_abb05,30,spout03,sucrose00,13,6.5,6.5,0.7071067811865476,abb05,multi_s,5
2022_04_18_abb05,30,spout04,sucrose30,43,21.5,21.5,0.7071067811865476,abb05,multi_s,5
2022_04_18_abb05,30,spout05,sucrose10,19,9.5,9.5,0.7071067811865476,abb05,multi_s,5
2022_04_18_abb05,40,spout01,sucrose05,15,7.5,7.5,3.5355339059327378,abb05,multi_s,5
2022_04_18_abb05,40,spout02,sucrose20,31,15.5,15.5,2.1213203435596424,abb05,multi_s,5
2022_04_18_abb05,40,spout03,sucrose00,10,5,5,0,abb05,multi_s,5
2022_04_18_abb05,40,spout04,sucrose30,40,20,20,2.8284271247461903,abb05,multi_s,5
2022_04_18_abb05,40,spout05,sucrose10,12,6,6,2.8284271247461903,abb05,multi_s,5
2022_04_18_abb05,50,spout01,sucrose05,13,6.5,6.5,2.1213203435596424,abb05,multi_s,5
2022_04_18_abb05,50,spout02,sucrose20,33,16.5,16.5,3.5355339059327378,abb05,multi_s,5
2022_04_18_abb05,50,spout03,sucrose00,8,4,4,1.4142135623730951,abb05,multi_s,5
2022_04_18_abb05,50,spout04,sucrose30,41,20.5,20.5,0.7071067811865476,abb05,multi_s,5
2022_04_18_abb05,50,spout05,sucrose10,9,4.5,4.5,0.7071067811865476,abb05,multi_s,5
2022_04_18_abb05,60,spout01,sucrose05,17,8.5,8.5,4.949747468305833,abb05,multi_s,5
2022_04_18_abb05,60,spout02,sucrose20,30,15,15,4.242640687119285,abb05,multi_s,5
2022_04_18_abb05,60,spout03,sucrose00,8,4,4,0,abb05,multi_s,5
2022_04_18_abb05,60,spout04,sucrose30,32,16,16,1.4142135623730951,abb05,multi_s,5
2022_04_18_abb05,60,spout05,sucrose10,12,6,6,2.8284271247461903,abb05,multi_s,5
2022_04_18_abb05,70,spout01,sucrose05,17,8.5,8.5,0.7071067811865476,abb05,multi_s,5
2022_04_18_abb05,70,spout02,sucrose20,27,13.5,13.5,3.5355339059327378,abb05,multi_s,5
