date,experiment,cohort,spout,solution,solution_text
6/13/2022,abb,2,spout05,nacl050,.5 M Nacl
6/14/2022,abb,2,spout01,nacl100,1 M Nacl
6/14/2022,abb,2,spout02,nacl150,1.5 M Nacl
6/14/2022,abb,2,spout03,nacl025,.25 M Nacl
6/14/2022,abb,2,spout04,nacl050,.5 M Nacl
6/14/2022,abb,2,spout05,nacl000,0 M Nacl
6/15/2022,abb,2,spout01,nacl050,.5 M Nacl
6/15/2022,abb,2,spout02,nacl025,.25 M Nacl
6/15/2022,abb,2,spout03,nacl100,1 M Nacl
6/15/2022,abb,2,spout04,nacl000,0 M Nacl
6/15/2022,abb,2,spout05,nacl150,1.5 M Nacl
6/16/2022,abb,2,spout01,nacl000,0 M Nacl
6/16/2022,abb,2,spout02,nacl050,.5 M Nacl
6/16/2022,abb,2,spout03,nacl150,1.5 M Nacl
6/16/2022,abb,2,spout04,nacl100,1 M Nacl
6/16/2022,abb,2,spout05,nacl025,.25 M Nacl
6/17/2022,abb,2,spout01,nacl150,1.5 M Nacl
6/17/2022,abb,2,spout02,nacl000,0 M Nacl
6/17/2022,abb,2,spout03,nacl050,.5 M Nacl
6/17/2022,abb,2,spout04,nacl025,.25 M Nacl
6/17/2022,abb,2,spout05,nacl100,1 M Nacl
6/18/2022,abb,2,spout01,sucrose00,0% sucrose
6/18/2022,abb,2,spout02,sucrose05,5% sucrose
6/18/2022,abb,2,spout03,sucrose10,10% sucrose
6/18/2022,abb,2,spout04,sucrose20,20% sucrose
6/18/2022,abb,2,spout05,sucrose30,30% sucrose
