blockname,trial_start_ts,trial_num,spout,trial_num_tastant,lick_count,lick_ts_first,lick_ts_last,lick_ili_mean,trial_lick,experiment,cohort,date,solution,solution_type,solution_value
2022_05_31_abb11,830798,62,spout02,13,13,248,2741,207.75,1,abb,2,5/31/2022,sucrose10,sucrose,10
2022_05_31_abb11,846685,63,spout05,13,14,217,2561,180.30769230769232,1,abb,2,5/31/2022,sucrose05,sucrose,5
2022_05_31_abb11,859414,64,spout04,14,0,NA,NA,NA,0,abb,2,5/31/2022,sucrose00,sucrose,0
2022_05_31_abb11,871824,65,spout02,14,19,313,2904,143.94444444444446,1,abb,2,5/31/2022,sucrose10,sucrose,10
2022_05_31_abb11,886509,66,spout03,13,21,276,2944,133.4,1,abb,2,5/31/2022,sucrose20,sucrose,20
2022_05_31_abb11,898816,67,spout01,13,16,275,2869,172.93333333333334,1,abb,2,5/31/2022,sucrose30,sucrose,30
2022_05_31_abb11,912839,68,spout03,14,22,297,2892,123.57142857142857,1,abb,2,5/31/2022,sucrose20,sucrose,20
2022_05_31_abb11,926713,69,spout01,14,15,520,2989,176.35714285714286,1,abb,2,5/31/2022,sucrose30,sucrose,30
2022_05_31_abb11,940712,70,spout05,14,8,590,2697,301,1,abb,2,5/31/2022,sucrose05,sucrose,5
2022_05_31_abb11,952696,71,spout02,15,10,261,1926,185,1,abb,2,5/31/2022,sucrose10,sucrose,10
2022_05_31_abb11,966733,72,spout01,15,14,348,2897,196.07692307692307,1,abb,2,5/31/2022,sucrose30,sucrose,30
2022_05_31_abb11,979060,73,spout04,15,0,NA,NA,NA,0,abb,2,5/31/2022,sucrose00,sucrose,0
2022_05_31_abb11,994758,74,spout04,16,0,NA,NA,NA,0,abb,2,5/31/2022,sucrose00,sucrose,0
2022_05_31_abb11,1008922,75,spout03,15,19,260,2564,128,1,abb,2,5/31/2022,sucrose20,sucrose,20
2022_05_31_abb11,1020170,76,spout05,15,5,303,957,163.5,1,abb,2,5/31/2022,sucrose05,sucrose,5
2022_05_31_abb11,1035704,77,spout03,16,20,373,2970,136.68421052631578,1,abb,2,5/31/2022,sucrose20,sucrose,20
2022_05_31_abb11,1049669,78,spout05,16,5,367,1056,172.25,1,abb,2,5/31/2022,sucrose05,sucrose,5
2022_05_31_abb11,1061053,79,spout01,16,14,476,2837,181.6153846153846,1,abb,2,5/31/2022,sucrose30,sucrose,30
2022_05_31_abb11,1072257,80,spout02,16,4,370,862,164,1,abb,2,5/31/2022,sucrose10,sucrose,10
2022_05_31_abb11,1083958,81,spout05,17,8,398,1409,144.42857142857142,1,abb,2,5/31/2022,sucrose05,sucrose,5
2022_05_31_abb11,1098628,82,spout01,17,0,NA,NA,NA,0,abb,2,5/31/2022,sucrose30,sucrose,30
2022_05_31_abb11,1114474,83,spout04,17,0,NA,NA,NA,0,abb,2,5/31/2022,sucrose00,sucrose,0
2022_05_31_abb11,1125747,84,spout05,18,3,320,591,135.5,1,abb,2,5/31/2022,sucrose05,sucrose,5
2022_05_31_abb11,1139466,85,spout01,18,14,417,2499,160.15384615384616,1,abb,2,5/31/2022,sucrose30,sucrose,30
2022_05_31_abb11,1154369,86,spout02,17,0,NA,NA,NA,0,abb,2,5/31/2022,sucrose10,sucrose,10
2022_05_31_abb11,1165983,87,spout03,17,12,464,2253,162.63636363636363,1,abb,2,5/31/2022,sucrose20,sucrose,20
2022_05_31_abb11,1180000,88,spout02,18,0,NA,NA,NA,0,abb,2,5/31/2022,sucrose10,sucrose,10
2022_05_31_abb11,1191975,89,spout03,18,12,380,2087,155.1818181818182,1,abb,2,5/31/2022,sucrose20,sucrose,20
2022_05_31_abb11,1207910,90,spout04,18,0,NA,NA,NA,0,abb,2,5/31/2022,sucrose00,sucrose,0
2022_05_31_abb11,1219426,91,spout01,19,12,530,2781,204.63636363636363,1,abb,2,5/31/2022,sucrose30,sucrose,30
2022_05_31_abb11,1234158,92,spout02,19,0,NA,NA,NA,0,abb,2,5/31/2022,sucrose10,sucrose,10
2022_05_31_abb11,1245621,93,spout04,19,5,614,1199,146.25,1,abb,2,5/31/2022,sucrose00,sucrose,0
2022_05_31_abb11,1258658,94,spout03,19,11,541,2376,183.5,1,abb,2,5/31/2022,sucrose20,sucrose,20
2022_05_31_abb11,1271537,95,spout02,20,0,NA,NA,NA,0,abb,2,5/31/2022,sucrose10,sucrose,10
2022_05_31_abb11,1282894,96,spout05,19,3,659,1081,211,1,abb,2,5/31/2022,sucrose05,sucrose,5
2022_05_31_abb11,1296040,97,spout03,20,0,NA,NA,NA,0,abb,2,5/31/2022,sucrose20,sucrose,20
2022_05_31_abb11,1308763,98,spout05,20,0,NA,NA,NA,0,abb,2,5/31/2022,sucrose05,sucrose,5
2022_05_31_abb11,1323927,99,spout04,20,0,NA,NA,NA,0,abb,2,5/31/2022,sucrose00,sucrose,0
2022_05_31_abb11,1335322,100,spout01,20,9,770,2958,273.5,1,abb,2,5/31/2022,sucrose30,sucrose,30
