blockname,date,event_key,param_dynamic,param_ts,param_value
2022_05_05_abb01,2022_05_05,1,current_pos,848751,4
2022_05_05_abb01,2022_05_05,1,current_pos,860089,0
2022_05_05_abb01,2022_05_05,1,current_pos,875644,1
2022_05_05_abb01,2022_05_05,1,current_pos,888824,4
2022_05_05_abb01,2022_05_05,1,current_pos,900480,2
2022_05_05_abb01,2022_05_05,1,current_pos,915377,3
2022_05_05_abb01,2022_05_05,1,current_pos,926440,1
2022_05_05_abb01,2022_05_05,1,current_pos,938218,3
2022_05_05_abb01,2022_05_05,1,current_pos,953235,2
2022_05_05_abb01,2022_05_05,1,current_pos,964415,1
2022_05_05_abb01,2022_05_05,1,current_pos,976063,3
2022_05_05_abb01,2022_05_05,1,current_pos,989271,4
2022_05_05_abb01,2022_05_05,1,current_pos,1001799,3
2022_05_05_abb01,2022_05_05,1,current_pos,1014347,2
2022_05_05_abb01,2022_05_05,1,current_pos,1027371,1
2022_05_05_abb01,2022_05_05,1,current_pos,1039985,0
2022_05_05_abb01,2022_05_05,1,current_pos,1051630,0
2022_05_05_abb01,2022_05_05,1,current_pos,1065551,4
2022_05_05_abb01,2022_05_05,1,current_pos,1080512,1
2022_05_05_abb01,2022_05_05,1,current_pos,1093200,3
2022_05_05_abb01,2022_05_05,1,current_pos,1108340,0
2022_05_05_abb01,2022_05_05,1,current_pos,1122331,0
2022_05_05_abb01,2022_05_05,1,current_pos,1135168,1
2022_05_05_abb01,2022_05_05,1,current_pos,1146885,4
2022_05_05_abb01,2022_05_05,1,current_pos,1158175,3
2022_05_05_abb01,2022_05_05,1,current_pos,1169373,4
2022_05_05_abb01,2022_05_05,1,current_pos,1180822,2
2022_05_05_abb01,2022_05_05,1,current_pos,1196818,2
2022_05_05_abb01,2022_05_05,1,current_pos,1211008,2
2022_05_05_abb01,2022_05_05,1,current_pos,1224816,1
2022_05_05_abb01,2022_05_05,1,current_pos,1236516,0
2022_05_05_abb01,2022_05_05,1,current_pos,1248210,1
2022_05_05_abb01,2022_05_05,1,current_pos,1259716,4
2022_05_05_abb01,2022_05_05,1,current_pos,1275414,3
2022_05_05_abb01,2022_05_05,1,current_pos,1290013,2
2022_05_05_abb01,2022_05_05,1,current_pos,1304445,0
2022_05_05_abb01,2022_05_05,1,current_pos,1319265,4
2022_05_05_abb01,2022_05_05,1,current_pos,1332972,3
2022_05_05_abb01,2022_05_05,1,current_tone,NA,13000
