blockname,date,event_key,event_id,event_id_char,event_ts
2022_06_15_abb10,2022_06_15,1,44,sol_onset_04,24894
2022_06_15_abb10,2022_06_15,1,14,sol_offset,24924
2022_06_15_abb10,2022_06_15,1,34,lick_04,24983
2022_06_15_abb10,2022_06_15,1,44,sol_onset_04,24983
2022_06_15_abb10,2022_06_15,1,14,sol_offset,25013
2022_06_15_abb10,2022_06_15,1,34,lick_04,25026
2022_06_15_abb10,2022_06_15,1,44,sol_onset_04,25026
2022_06_15_abb10,2022_06_15,1,14,sol_offset,25056
2022_06_15_abb10,2022_06_15,1,34,lick_04,25164
2022_06_15_abb10,2022_06_15,1,44,sol_onset_04,25164
2022_06_15_abb10,2022_06_15,1,14,sol_offset,25194
2022_06_15_abb10,2022_06_15,1,34,lick_04,25308
2022_06_15_abb10,2022_06_15,1,44,sol_onset_04,25308
2022_06_15_abb10,2022_06_15,1,14,sol_offset,25338
2022_06_15_abb10,2022_06_15,1,34,lick_04,25432
2022_06_15_abb10,2022_06_15,1,44,sol_onset_04,25432
2022_06_15_abb10,2022_06_15,1,14,sol_offset,25462
2022_06_15_abb10,2022_06_15,1,15,spout_retracted,25537
2022_06_15_abb10,2022_06_15,1,11,break_engaged,25538
2022_06_15_abb10,2022_06_15,1,15,spout_retracted,25738
2022_06_15_abb10,2022_06_15,1,130,radial_in_pos,26438
2022_06_15_abb10,2022_06_15,1,13,spout_extended,35502
2022_06_15_abb10,2022_06_15,1,32,lick_02,35633
2022_06_15_abb10,2022_06_15,1,42,sol_onset_02,35633
2022_06_15_abb10,2022_06_15,1,14,sol_offset,35667
2022_06_15_abb10,2022_06_15,1,32,lick_02,35852
2022_06_15_abb10,2022_06_15,1,42,sol_onset_02,35852
2022_06_15_abb10,2022_06_15,1,14,sol_offset,35886
2022_06_15_abb10,2022_06_15,1,32,lick_02,35952
2022_06_15_abb10,2022_06_15,1,42,sol_onset_02,35952
2022_06_15_abb10,2022_06_15,1,14,sol_offset,35986
2022_06_15_abb10,2022_06_15,1,32,lick_02,36172
2022_06_15_abb10,2022_06_15,1,42,sol_onset_02,36172
2022_06_15_abb10,2022_06_15,1,14,sol_offset,36206
2022_06_15_abb10,2022_06_15,1,32,lick_02,36296
2022_06_15_abb10,2022_06_15,1,42,sol_onset_02,36296
2022_06_15_abb10,2022_06_15,1,14,sol_offset,36330
2022_06_15_abb10,2022_06_15,1,32,lick_02,36405
2022_06_15_abb10,2022_06_15,1,42,sol_onset_02,36405
2022_06_15_abb10,2022_06_15,1,14,sol_offset,36439
2022_06_15_abb10,2022_06_15,1,32,lick_02,36525
2022_06_15_abb10,2022_06_15,1,42,sol_onset_02,36525
2022_06_15_abb10,2022_06_15,1,14,sol_offset,36559
2022_06_15_abb10,2022_06_15,1,32,lick_02,36636
2022_06_15_abb10,2022_06_15,1,42,sol_onset_02,36636
2022_06_15_abb10,2022_06_15,1,14,sol_offset,36670
2022_06_15_abb10,2022_06_15,1,32,lick_02,36753
2022_06_15_abb10,2022_06_15,1,42,sol_onset_02,36753
2022_06_15_abb10,2022_06_15,1,14,sol_offset,36787
2022_06_15_abb10,2022_06_15,1,32,lick_02,36873
2022_06_15_abb10,2022_06_15,1,42,sol_onset_02,36873
2022_06_15_abb10,2022_06_15,1,14,sol_offset,36907
2022_06_15_abb10,2022_06_15,1,32,lick_02,37008
2022_06_15_abb10,2022_06_15,1,42,sol_onset_02,37008
2022_06_15_abb10,2022_06_15,1,14,sol_offset,37042
2022_06_15_abb10,2022_06_15,1,32,lick_02,37151
2022_06_15_abb10,2022_06_15,1,42,sol_onset_02,37151
2022_06_15_abb10,2022_06_15,1,14,sol_offset,37185
2022_06_15_abb10,2022_06_15,1,32,lick_02,37282
2022_06_15_abb10,2022_06_15,1,42,sol_onset_02,37282
2022_06_15_abb10,2022_06_15,1,14,sol_offset,37316
2022_06_15_abb10,2022_06_15,1,32,lick_02,37406
2022_06_15_abb10,2022_06_15,1,42,sol_onset_02,37406
2022_06_15_abb10,2022_06_15,1,14,sol_offset,37440
2022_06_15_abb10,2022_06_15,1,32,lick_02,37537
2022_06_15_abb10,2022_06_15,1,42,sol_onset_02,37537
2022_06_15_abb10,2022_06_15,1,14,sol_offset,37571
2022_06_15_abb10,2022_06_15,1,32,lick_02,37661
